               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065433,            0.028091,            0.016923,             0.76557,             0.24138,             0.30122,             0.12235,            0.015993,            0.009657,           0.0063797,              0.0775,              0.0025,              0.0025
                   1,            0.046057,            0.020008,            0.011285,             0.88429,             0.43103,             0.69777,             0.26196,             0.01669,           0.0053395,           0.0059372,             0.05405,           0.0050495,           0.0050495
                   2,            0.045074,            0.015141,           0.0083947,             0.51326,             0.71751,             0.58699,             0.20008,            0.020429,           0.0041153,           0.0030685,            0.030548,           0.0075475,           0.0075475
                   3,            0.038649,            0.013704,           0.0048528,             0.54529,             0.71644,             0.70063,             0.41403,            0.016349,           0.0043878,           0.0021996,            0.009703,            0.009703,            0.009703
                   4,            0.032442,             0.01308,           0.0036151,             0.79457,             0.79809,              0.8388,             0.45654,            0.010556,           0.0051928,           0.0017601,            0.009703,            0.009703,            0.009703
                   5,            0.028296,            0.012363,            0.002484,             0.82615,             0.70756,             0.90026,             0.37149,            0.012575,           0.0045304,           0.0004529,            0.009604,            0.009604,            0.009604
                   6,            0.031606,            0.011856,             0.00414,             0.75955,             0.80413,             0.72274,             0.42016,            0.010877,           0.0049005,           0.0013012,            0.009505,            0.009505,            0.009505
                   7,            0.025533,            0.011043,             0.00414,             0.77403,             0.69894,             0.73698,             0.44332,            0.016909,            0.005709,          0.00093403,            0.009406,            0.009406,            0.009406
                   8,            0.024499,             0.01059,           0.0046395,             0.91586,             0.51778,             0.75746,             0.37054,            0.014631,           0.0044571,           0.0049637,            0.009307,            0.009307,            0.009307
                   9,            0.027557,            0.010765,           0.0047635,             0.91098,             0.89724,             0.91105,               0.506,           0.0089459,           0.0041945,           0.0016068,            0.009208,            0.009208,            0.009208
                  10,            0.025043,            0.010767,           0.0017939,             0.71522,             0.83687,             0.81171,             0.46273,              0.0117,           0.0052368,          0.00092258,            0.009109,            0.009109,            0.009109
                  11,            0.019791,            0.010076,           0.0036851,             0.98532,             0.95077,             0.96973,             0.68178,           0.0087693,           0.0038482,          0.00075717,             0.00901,             0.00901,             0.00901
                  12,            0.026385,           0.0096317,            0.001583,             0.90616,             0.90521,             0.92617,             0.57603,            0.010186,            0.003144,          0.00097876,            0.008911,            0.008911,            0.008911
                  13,            0.024208,            0.009342,           0.0026231,             0.96584,              0.9302,             0.96958,             0.63504,            0.010551,           0.0030845,          0.00092602,            0.008812,            0.008812,            0.008812
                  14,            0.019566,           0.0093872,            0.001011,             0.96886,             0.90336,             0.96432,             0.69349,           0.0068088,           0.0030642,          0.00067892,            0.008713,            0.008713,            0.008713
                  15,            0.022966,           0.0091459,            0.001011,             0.96765,             0.90584,             0.96333,             0.65542,           0.0087731,           0.0028621,          0.00034485,            0.008614,            0.008614,            0.008614
                  16,             0.02414,           0.0090743,           0.0012057,             0.96654,             0.89083,             0.97992,             0.78117,           0.0050956,           0.0022556,          0.00060377,            0.008515,            0.008515,            0.008515
                  17,            0.027868,           0.0088138,          0.00069907,              0.8972,                   1,             0.98483,             0.80042,           0.0055417,           0.0026521,          0.00038834,            0.008416,            0.008416,            0.008416
                  18,            0.020264,           0.0084421,          0.00070438,              0.9809,             0.91446,             0.92406,             0.63661,           0.0060546,           0.0026143,          0.00073719,            0.008317,            0.008317,            0.008317
                  19,            0.022469,            0.008504,          0.00079033,             0.99665,              0.9276,             0.99399,                0.76,           0.0055853,           0.0022811,          0.00050068,            0.008218,            0.008218,            0.008218
                  20,            0.020288,           0.0087425,          0.00085167,             0.96415,             0.91446,             0.97057,             0.78244,           0.0057291,           0.0024022,          0.00075135,            0.008119,            0.008119,            0.008119
                  21,            0.021681,           0.0085398,           0.0015338,              0.9954,             0.89364,             0.93424,              0.5764,           0.0070792,           0.0031234,          0.00082555,             0.00802,             0.00802,             0.00802
                  22,            0.020092,           0.0086153,           0.0010092,             0.95115,             0.92308,             0.96541,             0.81016,           0.0049998,           0.0025926,          0.00071282,            0.007921,            0.007921,            0.007921
                  23,            0.025613,           0.0084287,          0.00070924,             0.97902,             0.88859,             0.92156,             0.65604,           0.0065876,           0.0028142,          0.00068026,            0.007822,            0.007822,            0.007822
