               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083293,            0.026786,            0.052073,             0.11996,             0.43143,             0.12957,            0.048808,            0.037337,            0.010459,            0.037212,            0.070441,           0.0032843,           0.0032843
                   1,            0.051477,            0.019008,            0.047531,             0.13641,             0.42819,              0.1648,            0.059627,            0.033944,           0.0071387,            0.034403,            0.040376,           0.0065521,           0.0065521
                   2,            0.048398,            0.015857,            0.046917,             0.13393,             0.17475,             0.11416,            0.036886,            0.041844,           0.0078404,            0.033236,            0.010244,            0.009754,            0.009754
                   3,            0.042445,             0.01439,            0.044542,             0.12446,              0.2373,             0.10564,            0.035699,             0.03767,           0.0078096,            0.030121,            0.009703,            0.009703,            0.009703
                   4,            0.042635,            0.013527,            0.043863,             0.20687,             0.35735,             0.23932,             0.10544,            0.028424,            0.008018,            0.022993,            0.009703,            0.009703,            0.009703
                   5,            0.039441,            0.012745,            0.041205,             0.23916,             0.54574,             0.33009,             0.15818,            0.027303,           0.0070516,            0.022105,            0.009604,            0.009604,            0.009604
                   6,            0.034496,            0.012018,            0.040099,             0.24226,             0.21776,             0.15018,            0.055935,            0.039235,           0.0079765,            0.035387,            0.009505,            0.009505,            0.009505
                   7,            0.035204,              0.0114,            0.039452,             0.27906,             0.36326,             0.29795,             0.13429,            0.030457,           0.0070665,            0.023145,            0.009406,            0.009406,            0.009406
                   8,            0.031332,            0.011362,             0.03807,             0.25589,             0.14382,             0.14138,            0.054676,            0.041507,           0.0085444,            0.033757,            0.009307,            0.009307,            0.009307
                   9,            0.032839,            0.010584,            0.038713,             0.27495,             0.39924,             0.26754,              0.1227,            0.029925,           0.0079491,            0.028417,            0.009208,            0.009208,            0.009208
                  10,            0.032771,            0.011021,            0.037827,             0.41465,             0.45036,             0.45422,              0.2272,            0.028292,           0.0067061,            0.018728,            0.009109,            0.009109,            0.009109
                  11,            0.030191,            0.010711,             0.03573,             0.44161,             0.45327,             0.41685,             0.17619,            0.030707,           0.0069346,            0.019356,             0.00901,             0.00901,             0.00901
                  12,            0.030544,            0.010159,            0.034248,             0.49783,             0.53526,             0.51148,             0.24982,            0.027194,           0.0057138,            0.022614,            0.008911,            0.008911,            0.008911
                  13,            0.029665,            0.010474,            0.033832,             0.38579,             0.30669,             0.32626,             0.15171,              0.0288,           0.0091268,            0.020872,            0.008812,            0.008812,            0.008812
                  14,            0.030538,            0.010275,            0.034113,             0.61138,             0.62528,             0.63344,             0.33634,            0.023989,           0.0053965,            0.019151,            0.008713,            0.008713,            0.008713
                  15,            0.026868,           0.0099236,             0.03189,             0.46426,             0.49856,             0.44293,             0.21333,            0.027806,           0.0064124,             0.02453,            0.008614,            0.008614,            0.008614
                  16,            0.028856,           0.0099509,            0.031893,             0.56918,             0.62904,             0.62393,             0.31661,            0.024705,           0.0063732,            0.018675,            0.008515,            0.008515,            0.008515
                  17,            0.029895,           0.0099605,            0.030155,             0.61503,             0.52306,             0.56661,             0.26205,            0.025987,           0.0060544,            0.016705,            0.008416,            0.008416,            0.008416
                  18,            0.028272,           0.0098225,             0.03207,             0.50801,             0.51422,             0.50396,             0.25236,            0.028796,            0.006307,            0.042019,            0.008317,            0.008317,            0.008317
                  19,            0.027302,           0.0098463,            0.030006,             0.53856,             0.57077,             0.50132,             0.24383,            0.025583,           0.0065715,            0.026475,            0.008218,            0.008218,            0.008218
                  20,            0.027035,           0.0093685,            0.027933,             0.64015,             0.55647,             0.62257,             0.31687,            0.025203,           0.0074084,            0.015102,            0.008119,            0.008119,            0.008119
                  21,            0.027231,           0.0091242,            0.027753,              0.6202,             0.55884,             0.55932,             0.20792,            0.029633,           0.0063899,            0.017226,             0.00802,             0.00802,             0.00802
                  22,            0.026323,           0.0092048,            0.027136,             0.56254,             0.51971,             0.54984,             0.25649,            0.027488,           0.0066493,             0.02011,            0.007921,            0.007921,            0.007921
                  23,            0.026485,           0.0095735,            0.026371,             0.74299,             0.62935,             0.71671,             0.35954,            0.024491,           0.0058349,            0.012102,            0.007822,            0.007822,            0.007822
                  24,            0.025023,           0.0094003,            0.025356,             0.61931,             0.61335,             0.65974,              0.3201,            0.026566,           0.0069633,            0.013917,            0.007723,            0.007723,            0.007723
                  25,            0.025379,           0.0090118,            0.024954,             0.64884,             0.60354,             0.64931,             0.32868,            0.023985,           0.0058413,            0.019776,            0.007624,            0.007624,            0.007624
                  26,            0.024761,           0.0092691,            0.025941,             0.63717,             0.69862,             0.72963,             0.37706,            0.024535,           0.0055853,             0.01177,            0.007525,            0.007525,            0.007525
                  27,            0.024356,           0.0087832,             0.02546,             0.59942,             0.59924,             0.55623,             0.26768,            0.024445,           0.0070544,            0.015536,            0.007426,            0.007426,            0.007426
                  28,             0.02461,           0.0090766,            0.024181,             0.60807,              0.5425,             0.59071,             0.28712,            0.027252,           0.0062485,            0.025675,            0.007327,            0.007327,            0.007327
                  29,            0.023646,           0.0086291,            0.022559,             0.68927,             0.62623,             0.67135,             0.33525,            0.023864,           0.0058163,            0.014093,            0.007228,            0.007228,            0.007228
                  30,            0.021789,           0.0087483,            0.023741,               0.673,             0.71912,             0.68114,             0.30051,            0.026541,           0.0059955,            0.016012,            0.007129,            0.007129,            0.007129
                  31,            0.025627,           0.0088455,             0.02403,             0.75284,             0.72775,             0.78939,              0.3803,            0.023618,           0.0055146,             0.01001,             0.00703,             0.00703,             0.00703
                  32,            0.023903,           0.0085632,            0.022808,             0.59996,             0.60342,              0.5964,             0.29921,            0.026767,           0.0069405,            0.019451,            0.006931,            0.006931,            0.006931
                  33,            0.023908,           0.0085433,            0.022034,             0.67281,             0.55484,             0.60923,             0.27448,            0.027179,           0.0061888,            0.011726,            0.006832,            0.006832,            0.006832
                  34,            0.023638,           0.0087684,            0.022851,             0.57843,             0.42488,             0.47481,             0.20575,            0.030281,           0.0077088,            0.015751,            0.006733,            0.006733,            0.006733
                  35,            0.022731,           0.0085275,            0.022622,             0.76225,              0.6269,             0.73058,             0.36319,            0.023949,           0.0054712,            0.012076,            0.006634,            0.006634,            0.006634
                  36,            0.024244,           0.0083247,            0.022439,             0.67907,             0.53639,             0.61932,             0.31544,            0.024667,           0.0059438,            0.013558,            0.006535,            0.006535,            0.006535
                  37,            0.022087,           0.0086334,             0.02304,              0.6229,             0.56942,             0.60871,             0.27192,            0.025706,           0.0071514,            0.017787,            0.006436,            0.006436,            0.006436
