               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071512,            0.024554,            0.033359,             0.40198,             0.27132,             0.19344,            0.088582,            0.039105,           0.0071114,           0.0099986,            0.070242,           0.0033065,           0.0033065
                   1,            0.046762,            0.016637,            0.015418,             0.44026,             0.50239,             0.50525,              0.2752,            0.026579,           0.0056782,           0.0045121,            0.040176,           0.0065741,           0.0065741
                   2,            0.044501,            0.014769,            0.011647,             0.39839,             0.44126,             0.41024,             0.20483,            0.030758,            0.007102,           0.0057958,            0.010044,           0.0097757,           0.0097757
                   3,            0.041149,            0.015416,            0.012989,             0.36773,             0.33959,              0.2982,             0.15606,            0.028292,           0.0081347,           0.0054049,            0.009703,            0.009703,            0.009703
                   4,            0.043993,            0.014997,            0.010274,             0.25934,             0.35601,             0.29787,             0.15988,            0.030604,           0.0074096,           0.0071662,            0.009703,            0.009703,            0.009703
                   5,             0.04007,             0.01414,           0.0087846,              0.6407,             0.27113,             0.22725,             0.11502,            0.049159,           0.0076726,             0.02449,            0.009604,            0.009604,            0.009604
                   6,            0.035646,            0.013343,           0.0066245,             0.68451,             0.70235,             0.68906,             0.37229,            0.027561,           0.0058816,           0.0027312,            0.009505,            0.009505,            0.009505
                   7,            0.036577,            0.012823,           0.0062109,             0.63392,             0.61945,             0.64161,             0.35354,            0.030161,           0.0057042,           0.0025499,            0.009406,            0.009406,            0.009406
                   8,            0.033084,            0.013033,           0.0066649,              0.6106,              0.7146,             0.63526,              0.3929,            0.026355,           0.0067004,           0.0053012,            0.009307,            0.009307,            0.009307
                   9,            0.032265,            0.012359,           0.0042409,             0.73487,             0.78639,             0.74983,              0.4657,            0.024718,           0.0057009,           0.0019877,            0.009208,            0.009208,            0.009208
                  10,            0.031403,            0.011969,           0.0054312,              0.6762,             0.61047,             0.65906,             0.36268,            0.034097,            0.006101,            0.013873,            0.009109,            0.009109,            0.009109
                  11,            0.029618,            0.011897,           0.0049297,             0.54305,             0.54794,             0.59637,             0.37044,            0.024984,           0.0052401,           0.0022854,             0.00901,             0.00901,             0.00901
                  12,            0.028975,            0.011629,           0.0058991,             0.61964,             0.75547,             0.73399,             0.47859,            0.026232,           0.0059941,           0.0030964,            0.008911,            0.008911,            0.008911
                  13,            0.029047,            0.011596,           0.0046044,             0.64372,             0.75538,             0.71314,             0.41292,            0.026329,           0.0056859,           0.0021883,            0.008812,            0.008812,            0.008812
                  14,            0.028526,            0.011427,           0.0046868,             0.79242,             0.80771,             0.88929,             0.53344,            0.024717,           0.0053109,           0.0028165,            0.008713,            0.008713,            0.008713
                  15,            0.028075,            0.011263,           0.0051483,             0.64155,              0.5825,             0.64905,             0.37526,            0.026265,           0.0064656,           0.0045388,            0.008614,            0.008614,            0.008614
                  16,            0.028399,            0.011048,           0.0038306,             0.79546,             0.77635,             0.85887,             0.55052,            0.023855,           0.0051406,           0.0017788,            0.008515,            0.008515,            0.008515
                  17,            0.027189,            0.010774,           0.0044527,             0.73075,             0.80716,             0.78455,             0.49113,            0.025342,           0.0053853,           0.0018132,            0.008416,            0.008416,            0.008416
                  18,            0.026976,            0.011101,           0.0054119,             0.51987,             0.52607,             0.56181,             0.30256,            0.031285,           0.0059488,           0.0024378,            0.008317,            0.008317,            0.008317
                  19,             0.02628,            0.010679,           0.0037363,             0.82012,             0.86779,             0.87755,             0.59029,            0.020898,           0.0044188,           0.0015092,            0.008218,            0.008218,            0.008218
                  20,            0.024411,            0.010482,            0.002884,             0.75631,             0.77447,             0.82839,             0.54932,             0.02391,           0.0057557,           0.0039426,            0.008119,            0.008119,            0.008119
                  21,            0.024514,            0.010203,           0.0026086,             0.78014,             0.81392,             0.88437,             0.58709,            0.024285,           0.0050615,            0.002419,             0.00802,             0.00802,             0.00802
                  22,            0.022874,            0.010066,           0.0030011,             0.75561,             0.74106,              0.8186,             0.55364,            0.022548,           0.0050777,           0.0022902,            0.007921,            0.007921,            0.007921
                  23,            0.025135,           0.0099508,           0.0029304,             0.80928,             0.80503,             0.86732,             0.58752,            0.022847,           0.0050657,           0.0022915,            0.007822,            0.007822,            0.007822
                  24,            0.025486,            0.010212,           0.0035433,             0.70976,              0.7817,             0.76785,              0.4865,            0.027693,           0.0050658,           0.0020184,            0.007723,            0.007723,            0.007723
                  25,            0.022189,            0.010103,           0.0037079,             0.78427,             0.90051,             0.92971,             0.63081,            0.020733,           0.0046741,           0.0012958,            0.007624,            0.007624,            0.007624
                  26,            0.022833,            0.010079,           0.0029083,             0.78045,             0.84447,             0.90571,             0.61033,            0.022744,           0.0052021,           0.0013646,            0.007525,            0.007525,            0.007525
                  27,            0.022279,           0.0096676,           0.0026925,             0.86805,             0.81742,              0.8994,             0.61842,            0.021253,           0.0054112,           0.0024353,            0.007426,            0.007426,            0.007426
                  28,             0.02415,           0.0099881,            0.003162,             0.75592,             0.74433,             0.84798,             0.56325,            0.023539,           0.0053128,           0.0044391,            0.007327,            0.007327,            0.007327
                  29,            0.021597,           0.0092777,           0.0018131,             0.83985,             0.89315,             0.91987,             0.63677,            0.020935,           0.0045821,           0.0011034,            0.007228,            0.007228,            0.007228
                  30,            0.021454,           0.0093774,           0.0021339,              0.8392,             0.84242,             0.89946,              0.6058,             0.02257,           0.0049727,          0.00094057,            0.007129,            0.007129,            0.007129
                  31,            0.022838,           0.0094248,           0.0027971,             0.71177,             0.77109,             0.77212,             0.48986,            0.022561,           0.0050638,           0.0017358,             0.00703,             0.00703,             0.00703
                  32,            0.021935,           0.0094252,           0.0026272,             0.75354,             0.88877,             0.88053,             0.59028,            0.021419,           0.0049255,          0.00090827,            0.006931,            0.006931,            0.006931
                  33,            0.021583,           0.0093727,           0.0031795,             0.78113,             0.85703,             0.88168,             0.61187,            0.021546,           0.0047295,           0.0011648,            0.006832,            0.006832,            0.006832
                  34,            0.022715,           0.0091193,           0.0022441,             0.81599,             0.87245,             0.90086,             0.61821,            0.020274,           0.0046811,           0.0015399,            0.006733,            0.006733,            0.006733
                  35,            0.021509,           0.0094119,           0.0035936,             0.81398,             0.80567,             0.87356,             0.60247,            0.022645,           0.0049273,           0.0018438,            0.006634,            0.006634,            0.006634
                  36,            0.021161,           0.0093632,           0.0026501,             0.76918,             0.84563,             0.88412,              0.5923,             0.02219,           0.0048354,           0.0018172,            0.006535,            0.006535,            0.006535
                  37,            0.021835,           0.0092666,           0.0023347,             0.83256,             0.83944,             0.90028,             0.63274,            0.021197,           0.0045806,             0.00104,            0.006436,            0.006436,            0.006436
                  38,            0.020095,           0.0087742,           0.0018036,             0.80356,             0.89762,             0.91725,             0.61814,            0.021125,            0.004636,          0.00089358,            0.006337,            0.006337,            0.006337
                  39,            0.021338,           0.0087809,            0.001594,             0.82964,             0.85781,             0.91091,             0.62053,            0.020192,           0.0045643,           0.0011443,            0.006238,            0.006238,            0.006238
                  40,            0.022118,           0.0086229,           0.0014227,             0.84344,             0.86402,             0.93262,             0.68185,            0.019664,           0.0046718,           0.0032555,            0.006139,            0.006139,            0.006139
                  41,            0.019628,           0.0086921,           0.0017345,             0.82431,              0.9235,             0.92861,             0.64241,            0.021522,           0.0042708,           0.0008849,             0.00604,             0.00604,             0.00604
                  42,            0.019646,           0.0086766,           0.0021975,             0.86704,             0.88394,              0.9327,             0.64425,            0.020257,           0.0045358,          0.00097202,            0.005941,            0.005941,            0.005941
                  43,            0.020582,           0.0086143,           0.0015816,             0.86011,             0.87246,             0.92406,                0.65,            0.020428,           0.0045483,           0.0017734,            0.005842,            0.005842,            0.005842
                  44,            0.019229,           0.0085829,           0.0016936,             0.83639,             0.86024,             0.92815,             0.66194,            0.019725,           0.0044511,          0.00087645,            0.005743,            0.005743,            0.005743
                  45,            0.020037,           0.0086989,           0.0017873,             0.82145,             0.87268,             0.89741,             0.62609,            0.020894,            0.004553,          0.00096905,            0.005644,            0.005644,            0.005644
                  46,            0.019462,           0.0085467,           0.0023658,             0.85759,             0.84738,             0.87635,             0.62492,            0.019952,           0.0043407,           0.0012389,            0.005545,            0.005545,            0.005545
                  47,            0.018663,           0.0084486,           0.0018358,             0.80336,             0.91099,             0.92348,             0.62959,            0.018857,           0.0040854,          0.00066813,            0.005446,            0.005446,            0.005446
                  48,            0.018935,           0.0083685,           0.0015258,             0.85654,             0.92637,              0.9478,             0.66941,            0.018346,           0.0042401,            0.001265,            0.005347,            0.005347,            0.005347
                  49,            0.017857,           0.0083101,              0.0016,             0.84152,             0.91131,             0.94275,             0.67427,            0.017714,           0.0040549,          0.00079018,            0.005248,            0.005248,            0.005248
                  50,            0.019238,           0.0082641,           0.0013472,             0.84142,             0.90998,             0.91649,             0.65316,            0.019746,           0.0044312,          0.00085169,            0.005149,            0.005149,            0.005149
                  51,            0.017942,           0.0084525,           0.0012928,             0.88272,             0.89638,             0.94172,             0.66623,            0.019082,           0.0043873,          0.00074871,             0.00505,             0.00505,             0.00505
                  52,            0.017822,           0.0083309,           0.0021416,             0.83027,             0.92948,             0.93976,             0.66719,            0.018956,           0.0042951,          0.00072849,            0.004951,            0.004951,            0.004951
                  53,            0.018935,           0.0083758,           0.0019057,             0.87989,             0.87665,             0.91769,             0.63948,            0.019539,           0.0045643,          0.00077098,            0.004852,            0.004852,            0.004852
                  54,            0.017828,           0.0083496,           0.0016421,             0.83904,             0.91102,             0.92391,             0.66605,            0.019122,           0.0043131,          0.00053967,            0.004753,            0.004753,            0.004753
                  55,            0.018634,           0.0081006,           0.0015088,             0.82479,             0.91961,             0.94934,             0.68008,            0.017487,           0.0042021,          0.00056831,            0.004654,            0.004654,            0.004654
                  56,            0.017906,           0.0081226,           0.0013079,             0.85454,             0.91868,             0.94644,             0.67098,            0.019024,           0.0042808,          0.00061353,            0.004555,            0.004555,            0.004555
                  57,            0.018126,           0.0080253,           0.0017888,              0.8853,              0.9052,             0.93544,             0.66697,            0.018597,           0.0039898,          0.00056622,            0.004456,            0.004456,            0.004456
                  58,            0.016864,           0.0081484,           0.0014907,             0.82042,             0.93984,             0.94019,             0.68216,            0.018237,           0.0043315,           0.0008527,            0.004357,            0.004357,            0.004357
                  59,            0.017309,            0.007675,           0.0017918,             0.84831,             0.91701,             0.93326,              0.6464,            0.019131,           0.0041301,          0.00086597,            0.004258,            0.004258,            0.004258
                  60,            0.016498,           0.0078849,           0.0018687,             0.87252,              0.8695,             0.93741,             0.66235,            0.018388,           0.0046454,          0.00076359,            0.004159,            0.004159,            0.004159
                  61,            0.017048,           0.0078491,           0.0014618,             0.85277,             0.93054,              0.9343,             0.64483,            0.018962,           0.0041868,          0.00099489,             0.00406,             0.00406,             0.00406
